DATE,Time,STREET NAME,VEHICLES,TOTAL PEOPLE,PEDESTRIANS,BICYCLISTS,INJURIES,MAJOR INJURIES,FATALITIES 
13-Jan,12:13 p.m.,APPLE ST & SHURS LN,1,2,0,1,1,1,0
13-Jan,19:18 p.m.,OXFORD AV & PRATT ST,1,2,1,0,1,1,0
13-Jan,14:59 p.m.,MARKET ST & TWENTIETH ST,1,2,1,0,1,1,0
13-Feb,8:14 a.m.,WHITAKER AV & RUSCOMB ST & ASHDALE ST & F ST,1,2,1,0,1,1,0
11-May,11:30 a.m.,DELAWARE AV,1,2,0,1,1,1,0
13-Jan,17:31 p.m.,PENROSE AV,2,3,1,0,0,0,1
13-Jan,18:16 p.m.,KNIGHTS RD,1,2,1,0,0,0,1
13-Feb,11:22 a.m.,MT AIRY AV,1,4,1,0,0,0,1
11-Nov,12:20 p.m.,COTTMAN AV,1,2,1,0,1,1,0
12-Dec,12:02 p.m.,GARLAND ST & ROOSEVELT BL,1,2,1,0,1,1,0
13-Feb,6:07 a.m.,MILNOR ST & LEFEVRE ST & MARGARET ST & ARAMINGO AV,1,2,1,0,0,0,1
13-Feb,15:37 p.m.,CHRISTIAN ST & EIGHTH ST,1,4,1,0,0,0,1
13-Mar,14:29 p.m.,CHURCH ST & WORTH ST,1,2,1,0,1,1,0
13-Mar,18:20 p.m.,LONGSHORE ST & ROOSEVELT BL,1,2,1,0,1,1,0
13-Mar,8:30 a.m.,MARKET ST & NINTH ST,1,2,1,0,1,1,0
13-Jan,23:50 p.m.,DELAWARE EX,1,2,1,0,0,0,1
13-Feb,12:00 p.m.,BROAD ST,1,3,1,0,0,0,1
13-Jan,7:03 a.m.,COTTMAN AV & TABOR AV,1,2,1,0,0,0,1
13-Feb,9:35 a.m.,FRANKFORD AV,1,3,2,0,2,1,1
13-Mar,8:30 a.m.,CHELTENHAM AV & TORRESDALE AV,1,2,1,0,1,1,0
13-Mar,7:27 a.m.,UNIVERSITY AV,1,2,1,0,0,0,1
13-Feb,15:45 p.m.,LINDBERGH BL,1,4,3,0,3,3,0
13-Mar,11:06 a.m.,BUSTLETON AV,1,2,1,0,0,0,1
13-Mar,10:00 a.m.,HENRY AV & INDIAN QUEEN LN,2,4,1,0,1,1,0
13-Feb,18:16 p.m.,BRIDGE ST & TORRESDALE AV,1,4,1,0,1,1,0
13-Mar,19:00 p.m.,FRANKFORD AV,1,2,1,0,1,1,0
13-Mar,13:35 p.m.,LEHIGH AV,1,2,1,0,1,1,0
13-Apr,5:40 a.m.,TWENTYNINTH ST & VARE AV,1,4,1,0,1,1,0
13-Apr,10:40 a.m.,TORRESDALE AV,1,2,1,0,1,1,0
13-Mar,11:30 a.m.,ARMAT ST & GERMANTOWN AV,1,2,1,0,1,1,0
13-Apr,23:39 p.m.,FIFTH ST & GODFREY AV,1,3,1,0,1,1,0
13-Apr,22:30 p.m.,NORRIS ST & TWENTYFOURTH ST,1,2,1,0,1,1,0
13-Apr,23:00 p.m.,RYAN AV & SANDYFORD AV,1,2,1,0,1,1,0
13-Apr,16:00 p.m.,CAMBRIA ST & BELGRADE ST,1,2,1,0,1,1,0
13-Jan,23:19 p.m.,VALLEY ST & WAKELING ST,1,2,1,0,1,1,0
13-May,16:32 p.m.,SPRING GARDEN ST & EIGHTEENTH ST,2,4,2,0,3,0,1
13-May,17:00 p.m.,MARVINE ST,1,2,1,0,1,1,0
13-Apr,18:51 p.m.,BROAD ST,1,3,0,1,1,1,0
13-May,4:32 a.m.,TABOR RD & TABOR AV & ADAMS AV,1,2,1,0,1,1,0
13-Apr,16:50 p.m.,FIFTYSIXTH ST,1,2,1,0,1,1,0
13-May,22:20 p.m.,JOHNSON ST & STENTON AV,1,5,1,0,1,1,0
13-Feb,1:00 a.m.,ADAMS AV,1,2,1,0,1,1,0
13-May,21:00 p.m.,H ST,1,2,0,1,1,1,0
13-May,21:45 p.m.,POWELTON AV & FORTIETH ST,1,2,1,0,1,1,0
13-May,99:99 p.m.,LOCUST ST & TWENTYTHIRD ST,1,2,0,1,1,1,0
13-May,19:15 p.m.,THIRD ST & LOMBARD ST,1,2,1,0,1,1,0
13-Jun,17:35 p.m.,CHESTER AV & FIFTYEIGHTH ST,1,2,1,0,1,1,0
13-May,14:45 p.m.,JEFFERSON ST & FIFTH ST,1,2,0,1,1,1,0
13-Jun,23:00 p.m.,SPRINGFIELD AV & PAXON ST,1,2,1,0,1,1,0
13-May,13:30 p.m.,OREGON ST & MOLE AV,2,4,1,0,3,1,0
13-Mar,6:44 a.m.,LEVICK ST,1,2,1,0,1,1,0
13-Jul,9:20 a.m.,AMERICAN ST & LEHIGH AV,1,2,1,0,0,0,1
13-Jul,22:00 p.m.,SIXTYTHIRD ST & LANSDOWNE AV,1,2,1,0,1,1,0
13-Jun,15:57 p.m.,CECIL B MOORE AV & SIXTH ST,1,2,0,1,1,1,0
13-Jul,14:43 p.m.,CHELWYNDE AV,1,3,1,0,1,1,0
13-Jul,20:18 p.m.,S TWENTYFIRST ST,1,2,1,0,0,0,1
13-Jun,99:99 p.m.,OXFORD AV & COTTMAN AV,1,2,1,0,0,0,1
